docno,text,query_id,text_clean,text_lemma
2045461003153162682,"Regime change is the only sustainable solution!!!

#RezaPahlavi                  #DigitalBlackOutİran                #IranMassacre #Iran          #IranRevolution2026",MB01,regime change is the only sustainable solution rezapahlavi digitalblackouti̇ran iranmassacre iran iranrevolution2026,regime change sustainable solution rezapahlavi iranmassacre iran
2045460954851295376,"Trump is in a major predicament; his goals once included regime change in Iran, but now that's his ultimate ambition.",MB01,trump is in a major predicament his goals once included regime change in iran but now that s his ultimate ambition,trump major predicament goal include regime change iran s ultimate ambition
2045460590563410352,Regime change is needed in Israel not Iran,MB01,regime change is needed in israel not iran,regime change need israel iran
2045459926248829101,The solution is Regime Change In Iran.,MB01,the solution is regime change in iran,solution regime change iran
2045459334033822188,"Trump needed a quick exit desperately. He's obviously framing this a HUGE win, but ultimately there's no regime change in Iran, and they will only regroup and cause trouble again later. They also saw what massive leverage they have with the Straight of Hormuz.",MB01,trump needed a quick exit desperately he s obviously framing this a huge win but ultimately there s no regime change in iran and they will only regroup and cause trouble again later they also saw what massive leverage they have with the straight of hormuz,trump need quick exit desperately s obviously frame huge win ultimately s regime change iran regroup cause trouble later see massive leverage straight hormuz
2045458735938552031,"‘We demand regime change in the Vatican!’. In the latest act of Trump's 'crazy bastard' strategy, he and JD Vance, who probably killed the last Pope, are now threatening the Catholic Church and the new Pope because he dared to call the escalation in Iran an unjust war crime. It’s",MB01,we demand regime change in the vatican in the latest act of trump s crazy bastard strategy he and jd vance who probably killed the last pope are now threatening the catholic church and the new pope because he dared to call the escalation in iran an unjust war crime it s,demand regime change vatican late act trump s crazy bastard strategy jd vance probably kill pope threaten catholic church new pope dare escalation iran unjust war crime s
2045458647002571216,"As an Iranian this video is no Iran but the punishment is same and it is happening behind door with regime guard not people and that is why we are yelling we need regime change, 
The IRGC and sharia law is not representing Iranian people, 90 percent of Iranians don’t practice",MB01,as an iranian this video is no iran but the punishment is same and it is happening behind door with regime guard not people and that is why we are yelling we need regime change the irgc and sharia law is not representing iranian people 90 percent of iranians don t practice,iranian video iran punishment happen door regime guard people yell need regime change irgc sharia law represent iranian people percent iranians don t practice
2045458302679564574,"Do not deal with the Mollahs islamic regime. They never change.
Lets free Iran and the whole region once for ever.
#FreeIran‌ 
#KingRezaPahlavi‌ForIran",MB01,do not deal with the mollahs islamic regime they never change lets free iran and the whole region once for ever freeiran kingrezapahlavi foriran,deal mollah islamic regime change let free iran region freeiran kingrezapahlavi foriran
2045458272467968490,"Believe it or not, the reality is that as long as  the US does not have a regime change  with a puppet as its leader in Iran, control Iranian Oil or  Straight of Hormuz the war is lost. War started for Bibi Milioskey in the middle east, under the guise of WMD. End game defeated!!",MB01,believe it or not the reality is that as long as the us does not have a regime change with a puppet as its leader in iran control iranian oil or straight of hormuz the war is lost war started for bibi milioskey in the middle east under the guise of wmd end game defeated,believe reality long regime change puppet leader iran control iranian oil straight hormuz war lose war start bibi milioskey middle east guise wmd end game defeat
2045458176238113223,"Still no regime change, still capacity to create a nuclear war, still China and Russia aiding Iran against America and now Iran has closed the Strait again. The @PEDOPRESIDENT really is doing a great job isn’t he.",MB01,still no regime change still capacity to create a nuclear war still china and russia aiding iran against america and now iran has closed the strait again the really is doing a great job isn t he,regime change capacity create nuclear war china russia aid iran america iran close strait great job isn t
2045458116297597360,U have publically mocked his mental faculties; declared Trump has ceded the floor of the white house situation room to Natanyahu since Iran was ripe for regime change and Trump bought the so called 'hard sell',MB01,u have publically mocked his mental faculties declared trump has ceded the floor of the white house situation room to natanyahu since iran was ripe for regime change and trump bought the so called hard sell,u publically mock mental faculty declare trump cede floor white house situation room natanyahu iran ripe regime change trump buy call hard sell
2045457555879510327,"Exactly. There are only three scenarios for the way ahead:

- Iran wins, continues on its former path
- Regime change
- Massive containment with regular airstrikes

A deal is not a realpolitik option, as Tehran won't honor the terms of it.",MB01,exactly there are only three scenarios for the way ahead iran wins continues on its former path regime change massive containment with regular airstrikes a deal is not a realpolitik option as tehran won t honor the terms of it,exactly scenario way ahead iran win continue path regime change massive containment regular airstrike deal realpolitik option tehran win t honor term
2045456939425870029,"In the latest #IranProtests, MEK Resistance Units carried out 630 operations against the repressive forces to protect demonstrators “contributing greatly to the expansion of the uprising.”

@Maryam_Rajavi’s interview with @politicshome on the roadmap for regime change in Iran:",MB01,in the latest iranprotests mek resistance units carried out 630 operations against the repressive forces to protect demonstrators contributing greatly to the expansion of the uprising s interview with on the roadmap for regime change in iran,late iranprotest mek resistance unit carry operation repressive force protect demonstrator contribute greatly expansion uprising s interview roadmap regime change iran
2045456300973388140,"You bastard STFU. We Iranians want regime change with 
@PahlaviReza
 as our transitional leader  and we will win and take our ocvupied Iran back. 
#KingRezaPahlavi‌ForIran #IRGCTerrorist ‌ 
#DigitalBlackOutIran
#NoDealWithMullahs",MB01,you bastard stfu we iranians want regime change with as our transitional leader and we will win and take our ocvupied iran back kingrezapahlavi foriran irgcterrorist digitalblackoutiran nodealwithmullahs,bastard stfu iranians want regime change transitional leader win ocvupied iran kingrezapahlavi foriran irgcterrorist digitalblackoutiran nodealwithmullah
2045456217884049805,"IRAN'S KHAMENEI DECLARES NAVY READY FOR ACTION AGAINST ENEMIES -CRYPTO BRIEFING

Khamenei's assertive stance suggests increased military tensions, but traders see a low likelihood of imminent regime change in Iran. The statement may be a response to recent developments in the",MB01,iran s khamenei declares navy ready for action against enemies crypto briefing khamenei s assertive stance suggests increased military tensions but traders see a low likelihood of imminent regime change in iran the statement may be a response to recent developments in the,iran s khamenei declare navy ready action enemy crypto briefing khamenei s assertive stance suggest increase military tension trader low likelihood imminent regime change iran statement response recent development
2045455665775145116,"Ed you are all over the map & triggered bc of the truth. I don't trust Iran but no one is worse than deranged Trump. This is not about wishing US failure, but regime change is illegal, understand? The US Navy is keeping its distance for fear of a ship going down. That's a fact.",MB01,ed you are all over the map triggered bc of the truth i don t trust iran but no one is worse than deranged trump this is not about wishing us failure but regime change is illegal understand the us navy is keeping its distance for fear of a ship going down that s a fact,ed map trigger bc truth don t trust iran bad derange trump wish failure regime change illegal understand navy keep distance fear ship go s fact
